;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;monto_del_credito;línea_credito;fecha_de_beneficio
1347;FEMENINO;INDUSTRIA;FABRICA DE;BELEN;3;16.0;6000000;MICROEMPRESARIAL;2017-06-29
1348;MASCULINO;INDUSTRIA;VARIEDADES;20 DE JULIO;1;13.0;6890000;MICROEMPRESARIAL;2016-12-30
1350;MASCULINO;COMERCIO;COMIDAS RAPIDAS;GRANIZAL;2;1.0;2700000;MICROEMPRESARIAL;2017-03-31
1351;FEMENINO;COMERCIO;COMIDAS RAPIDAS;SANTO DOMINGO SAVIO ;1;1.0;2200000;MICROEMPRESARIAL;2017-08-31
1352;FEMENINO;COMERCIO;PRODUCTOS DE BELLEZA;ENCISO;1;8.0;6000000;MICROEMPRESARIAL;2018-10-25
1353;FEMENINO;SERVICIO;BARBERIA;BUENOS AIRES;3;9.0;7377000;MICROEMPRESARIAL;2017-02-09
1354;FEMENINO;INDUSTRIA;FABRICA DE;BOSTON;2;10.0;7300000;MICROEMPRESARIAL;2017-07-05
1355;MASCULINO;COMERCIO;ALMACEN DE ROPA EN;LA MILAGROSA;3;9.0;7800000;MICROEMPRESARIAL;2018-11-02
1356;FEMENINO;COMERCIO;TIENDA;CABECERA SAN ANTONIO ;2;80.0;5000000;MICROEMPRESARIAL;2018-04-26
1357;FEMENINO;COMERCIO;ALMACEN DE ROPA EN;SAN JAVIER NO.1;2;13.0;7300000;MICROEMPRESARIAL;2017-05-08
1358;FEMENINO;COMERCIO;COMIDAS RAPIDAS;CABECERA SAN CRISTOBAL;1;60.0;4000000;MICROEMPRESARIAL;2019-03-18
1359;MASCULINO;SERVICIO;RESTAURANTE;SANTA ELENA CENTRAL;3;90.0;2000000;MICROEMPRESARIAL;2016-03-29
1360;MASCULINO;INDUSTRIA;VARIEDADES;MANRIQUE CENTRAL NO. 1;2;4.0;4000000;MICROEMPRESARIAL;2018-03-15
